"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:1904294","positive regulation of ERAD pathway",0.0833333333333333,0.000702247191011236,0.00839664832034381,0.0353330656720758,0.0169057730488401,"evm.utg17994.17",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:1904294","positive regulation of ERAD pathway",0.0833333333333333,0.000702247191011236,0.00839664832034381,0.0353330656720758,0.0169057730488401,"evm.utg17994.17",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0051715","cytolysis in another organism",0.0833333333333333,0.000842696629213483,0.0100682025998124,0.0353330656720758,0.0169057730488401,"evm.utg3210.25",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0051715","cytolysis in another organism",0.0833333333333333,0.000842696629213483,0.0100682025998124,0.0353330656720758,0.0169057730488401,"evm.utg3210.25",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0046931","pore complex assembly",0.0833333333333333,0.000936329588014981,0.011181136726655,0.0353330656720758,0.0169057730488401,"evm.utg3210.25",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0046931","pore complex assembly",0.0833333333333333,0.000936329588014981,0.011181136726655,0.0353330656720758,0.0169057730488401,"evm.utg3210.25",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0006812","monoatomic cation transport",0.0833333333333333,0.00107677902621723,0.0128483875171185,0.0353330656720758,0.0169057730488401,"evm.utg3210.25",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0006812","monoatomic cation transport",0.0833333333333333,0.00107677902621723,0.0128483875171185,0.0353330656720758,0.0169057730488401,"evm.utg3210.25",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0001732","formation of cytoplasmic translation initiation complex",0.0833333333333333,0.00177902621722846,0.0211460550032498,0.0448198344071432,0.0214448968455231,"evm.utg2353.1",1,"CHH","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0001732","formation of cytoplasmic translation initiation complex",0.0833333333333333,0.00177902621722846,0.0211460550032498,0.0448198344071432,0.0214448968455231,"evm.utg2353.1",1,"CHH","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0042254","ribosome biogenesis",0.0833333333333333,0.00205992509363296,0.0244471824038963,0.0448198344071432,0.0214448968455231,"evm.utg3753.7",1,"CHH","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0007154","cell communication",0.0833333333333333,0.00454119850187266,0.053167043538459,0.0818531637802118,0.0391641931962736,"evm.utg268.25.1.5c22edff",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0051260","protein homooligomerization",0.0833333333333333,0.00571161048689139,0.0664432875259211,0.0818531637802118,0.0391641931962736,"evm.utg12724.17",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0051260","protein homooligomerization",0.0833333333333333,0.00571161048689139,0.0664432875259211,0.0818531637802118,0.0391641931962736,"evm.utg12724.17",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0034765","regulation of monoatomic ion transmembrane transport",0.0833333333333333,0.00575842696629213,0.0669707703656278,0.0818531637802118,0.0391641931962736,"evm.utg12724.17",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0034765","regulation of monoatomic ion transmembrane transport",0.0833333333333333,0.00575842696629213,0.0669707703656278,0.0818531637802118,0.0391641931962736,"evm.utg12724.17",1,"CpG","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0007155","cell adhesion",0.0833333333333333,0.011001872659176,0.124349705822811,0.125841161342185,0.0602110819819065,"evm.utg1162.37",1,"CHH","Biological Processes","dispersed_repeat","Primed Experiment"
"GO:0007155","cell adhesion",0.0833333333333333,0.011001872659176,0.124349705822811,0.125841161342185,0.0602110819819065,"evm.utg1162.37",1,"CHH","Biological Processes","dispersed_repeat","Primed Experiment"
